caldt,vwretd,ewretd
19890831,0.019853,0.029177
19890929,-0.004004,-0.015646
19891031,-0.023639,-0.046675
19891130,0.020479,0.012291
19891229,0.022657,0.015265
19900131,-0.067661,-0.073185
19900228,0.013381,0.014022
19900330,0.026588,0.031748
19900430,-0.024504,-0.040596
19900531,0.097419,0.096223
19900629,-0.006754,-0.014536
19900731,-0.004454,-0.024605
19900831,-0.090801,-0.112374
19900928,-0.048959,-0.073624
19901031,-0.003597,-0.036372
19901130,0.064561,0.092115
19901231,0.027987,0.041912
19910131,0.045001,0.082065
19910228,0.071565,0.085194
19910328,0.024354,0.030853
19910430,0.002268,0.005046
19910531,0.042930,0.054462
19910628,-0.045357,-0.049743
19910731,0.046526,0.041944
19910830,0.023885,0.022633
19910930,-0.016861,-0.019202
19911031,0.013458,0.010790
19911129,-0.040214,-0.050809
19911231,0.114089,0.113619
19920131,-0.018348,0.017853
19920228,0.012865,0.030385
19920331,-0.019470,-0.020264
19920430,0.028614,0.016597
19920529,0.004850,0.001930
19920630,-0.015030,-0.020451
19920731,0.040924,0.040790
19920831,-0.020615,-0.027431
19920930,0.011340,0.018991
19921030,0.004796,0.020398
19921130,0.033794,0.044229
19921231,0.013380,0.022532
19930129,0.007282,0.022706
19930226,0.013526,0.010886
19930331,0.021202,0.027450
19930430,-0.024519,-0.021945
19930528,0.026259,0.031630
19930630,0.003466,0.003477
19930730,-0.004593,-0.000721
19930831,0.037431,0.040022
19930930,-0.007582,-0.006236
19931029,0.019884,0.019667
19931130,-0.008655,-0.008570
19931231,0.012646,0.023359
19940131,0.033429,0.037019
19940228,-0.027161,-0.017379
19940331,-0.043456,-0.043719
19940429,0.012817,0.004462
19940531,0.016309,0.012087
19940630,-0.024762,-0.021933
19940729,0.032714,0.033750
19940831,0.041341,0.052232
19940930,-0.023940,-0.026000
19941031,0.022619,0.011997
19941130,-0.036248,-0.043415
19941230,0.014955,0.016548
19950131,0.026000,0.021154
19950228,0.039228,0.044549
19950331,0.029334,0.029457
19950428,0.029395,0.023800
19950531,0.039809,0.035709
19950630,0.024155,0.025803
19950731,0.033405,0.033271
19950831,0.003495,0.007707
19950929,0.042102,0.024752
19951031,-0.003442,-0.024119
19951130,0.044179,0.050988
19951229,0.017643,0.014641
19960131,0.034861,0.030677
19960229,0.010088,0.012873
19960329,0.009585,0.019612
19960430,0.015133,0.028410
19960531,0.025257,0.013102
19960628,0.004128,-0.009331
19960731,-0.044441,-0.055908
19960830,0.021928,0.032975
19960930,0.056035,0.049854
19961031,0.026798,0.013655
19961129,0.076455,0.070028
19961231,-0.019815,-0.016817
19970131,0.062779,0.039140
19970228,0.007752,0.013457
19970331,-0.041653,-0.035120
19970430,0.060274,0.032138
19970530,0.061401,0.073897
